,7_corr,7_pval,7_qval,7_ci_low,7_ci_high,2_corr,2_pval,2_qval,2_ci_low,2_ci_high,0_corr,0_pval,0_qval,0_ci_low,0_ci_high,3_corr,3_pval,3_qval,3_ci_low,3_ci_high
PTCH1,0.38726824251808856,2.8066263237401584e-230,1.4771717493369256e-228,0.36605971691466627,0.40807468181111206,0.07673079245701579,1.084171507096282e-09,1.8644393931148443e-09,0.052117871777002556,0.10125055012517847,-0.22102557127588365,4.880457723905048e-71,1.537152039025212e-70,-0.2444024071551606,-0.1973919677920848,-0.16063951419957298,8.655041447352505e-38,3.6673904437934345e-37,-0.18461838189967364,-0.13646951076531824
HAPLN1,0.3797554283888258,1.5132928834194973e-220,7.760476325228191e-219,0.35840712695353383,0.4007067722311384,-0.05273958228868519,2.8395103419925965e-05,4.3022883969584796e-05,-0.07735051643301263,-0.028064414205088477,-0.08380555821074837,2.717010740812918e-11,4.628638400022007e-11,-0.10829302942103473,-0.05921645031273767,-0.12354885906873384,7.037306363801681e-23,2.1196705915065304e-22,-0.1478093253382305,-0.09913979949094999
POU5F1,0.37544352511765305,4.376061400749404e-215,2.1346640979265383e-213,0.35401629620447556,0.39647681113494293,0.7111431373441957,0.0,0.0,0.6987102385837592,0.7231466015490102,-0.7840913638105632,0.0,0.0,-0.7934294093004571,-0.7743842951396169,-0.4175667997620567,1.909051925341885e-272,6.3635064178062825e-270,-0.437761370105468,-0.3969511164141663
SEMA3D,0.37394075564806356,3.337176404629274e-213,1.589131621252035e-211,0.35248624114337596,0.3950023899750983,-0.030362136793161795,0.016024200598756724,0.020810650128255486,-0.05503258983797338,-0.0056546354022845155,-0.12331778528374548,8.466654749976249e-23,1.706986844753276e-22,-0.14757979504944727,-0.09890745153770279,-0.10874548032696743,4.825822339255972e-18,1.299010050943734e-17,-0.13309954725238293,-0.08426016780216632
FREM1,0.3643519409767957,1.9146172148846297e-201,8.702805522202863e-200,0.34272602385424894,0.3855919034960108,-0.0031759588584594485,0.8011612040746366,0.8242399218874863,-0.027885514377655417,0.021537475549101126,-0.14559252387614902,2.9814207325481134e-31,6.574246378275884e-31,-0.169693736155437,-0.12131726052677194,-0.11498602430771666,5.2602281782688005e-20,1.4713924974178462e-19,-0.1393019411883101,-0.0905315260386504
PDGFA,0.36038949641455736,1.0374554328749994e-196,4.610913034999998e-195,0.3386941123198573,0.38170185983199106,0.2768304761062219,1.6890294127947165e-112,9.33165421433545e-112,0.25385534729550774,0.2994933966697628,-0.3745094385971911,6.4914990665301e-214,6.241826025509712e-213,-0.3955603580250481,-0.3530652361054458,-0.24916659423980622,1.3818788502130613e-90,1.5792901145292132e-89,-0.2722022959248872,-0.22584545768901798
RARRES2,0.3594180725064585,1.4638573785926537e-195,6.364597298228929e-194,0.3377057796434533,0.3807480703110418,0.6049063291403668,0.0,0.0,0.5889991148792871,0.6203449763613953,-0.6647213887603991,0.0,0.0,-0.6782912328768285,-0.6506982912624856,-0.386778689256489,1.2325570083079299e-229,1.297428429797821e-227,-0.40759465342050283,-0.3655609681381448
EPAS1,0.3585897058844979,1.38782043121635e-194,5.905618856239787e-193,0.3368630321512414,0.37993470528246037,-0.11479124180851423,6.080431232923189e-20,1.237117239658838e-19,-0.1391083782854956,-0.09033575242421349,-0.11286864839109563,2.5077681199111562e-19,4.827272608106172e-19,-0.13719772315893808,-0.0884034776332711,0.0031855515025414343,0.8005732753229294,0.8296096117336057,-0.021527887255702947,0.027895099656891
EDNRB,0.3573678798668084,3.7795155598684974e-193,1.5426594121912233e-191,0.33562005814416096,0.37873494609861286,0.10295909340973246,2.5400801436592635e-16,4.917870558875632e-16,0.07844694179547729,0.12734682910105008,-0.2384248757016672,8.323709957953851e-83,2.9103880971866616e-82,-0.26159532769839766,-0.2149797697550746,-0.15568966849069155,1.4531684199808425e-35,5.895206571930395e-35,-0.1797100029027227,-0.13148379032105761
IGDCC3,0.35552713737026215,5.329509498709652e-191,2.1318037994838606e-189,0.33374759811276816,0.376927312797185,0.17471285157478195,1.607863330452094e-44,4.3930692088855026e-44,0.15065153938920198,0.198567289460839,-0.3110639883579804,1.4643793176743358e-143,8.391858554007656e-143,-0.3332143359312079,-0.2885704663202746,-0.17530553768025006,8.119233829689161e-45,3.989795493704748e-44,-0.19915452332963476,-0.15124902033395474
